File Type:, 
Path:,C:\Dokumente und Einstellungen\studenten\Eigene Dateien\Haller\Masterarbeit\Fraesversuche\Nut_HyperMILL\
Filename:,D4_HMILL_1_Nut1.dwd
Config ID:,D4_HMILL_1_Nut1.cfg
Setup ID:,0
Manipulated:,0
Filename 1:, 
Filename 2:, 
Date:, 
Time:, 
Sampling rate [Hz]:,500
Measuring time [s]:,120.
Delay time [s]:,0.
Cycle time [s]:,0.
Cycles:,1
Samples per channel:,60001
Cycle interval:,0
Channel enabled:,1,1,1,
Cycle No:	1
Time [s],Fz,Fy,Fx,
0.,-9.33838,1.66321,1.23596,
2.e-003,-9.46045,1.67847,0.717163,
4.e-003,-9.39941,0.991821,1.11389,
6.e-003,-9.30786,2.01416,0.991821,
8.e-003,-9.3689,0.991821,0.747681,
1.e-002,-9.52148,1.61743,1.15967,
1.2e-002,-9.12476,1.60217,0.62561,
1.4e-002,-9.58252,0.793457,0.930786,
1.6e-002,-9.30786,1.80054,1.0376,
1.8e-002,-9.52148,1.17493,0.671387,
2.e-002,-9.39941,1.5564,1.297,
2.2e-002,-9.27734,1.49536,0.808716,
2.4e-002,-9.49097,0.213623,1.11389,
2.6e-002,-9.33838,1.57166,1.15967,
2.8e-002,-9.61304,0.289917,0.717163,
3.e-002,-9.33838,0.320435,1.32751,
3.2e-002,-9.3689,0.289917,0.869751,
3.4e-002,-9.61304,-0.442505,1.00708,
3.6e-002,-9.46045,-0.640869,1.05286,
3.8e-002,-9.27734,-0.62561,0.62561,
4.e-002,-9.42993,4.57764e-002,1.05286,
4.2e-002,-9.12476,0.137329,0.762939,
4.4e-002,-9.3689,-0.106812,0.656128,
4.6e-002,-9.39941,1.05286,0.869751,
4.8e-002,-9.27734,0.930786,0.518799,
5.e-002,-9.3689,1.46484,1.11389,
5.2e-002,-9.3689,2.39563,0.747681,
5.4e-002,-9.30786,1.84631,0.915527,
5.6e-002,-9.46045,2.2583,1.19019,
5.8e-002,-9.49097,2.02942,1.09863,
6.e-002,-9.46045,2.15149,1.41907,
6.2e-002,-9.39941,2.34985,1.15967,
6.4e-002,-9.70459,2.27356,1.52588,
6.6e-002,-9.27734,3.37219,1.31226,
6.8e-002,-9.52148,3.44849,0.869751,
7.e-002,-9.70459,3.50952,1.297,
7.2e-002,-9.3689,4.19617,1.15967,
7.4e-002,-9.61304,3.64685,0.961304,
7.6e-002,-9.42993,4.16565,1.12915,
7.8e-002,-9.49097,3.43323,0.686646,
8.e-002,-9.58252,3.09753,0.915527,
8.2e-002,-9.58252,2.7771,0.808716,
8.4e-002,-9.42993,1.4801,0.732422,
8.6e-002,-9.39941,1.297,0.930786,
8.8e-002,-9.3689,1.66321,0.656128,
9.e-002,-9.24683,1.41907,0.808716,
9.2e-002,-9.00269,1.52588,0.854492,
9.4e-002,-9.09424,1.19019,0.549316,
9.6e-002,-9.21631,2.04468,0.823975,
9.8e-002,-9.21631,1.63269,0.457764,
0.1,-9.67407,1.69373,0.62561,
0.102,-9.8877,2.2583,0.686646,
0.104,-9.46045,1.05286,0.62561,
0.106,-9.46045,2.18201,0.976563,
0.108,-9.39941,1.34277,0.62561,
0.11,-9.42993,1.09863,1.09863,
0.112,-9.15527,1.7395,1.0376,
0.114,-9.18579,0.549316,1.06812,
0.116,-9.27734,1.8158,1.52588,
0.118,-9.09424,1.17493,1.19019,
0.12,-9.46045,1.44958,1.63269,
0.122,-9.42993,1.86157,1.49536,
0.124,-9.42993,1.09863,1.41907,
0.126,-9.52148,1.83105,1.8158,
0.128,-9.58252,1.25122,1.25122,
0.13,-9.73511,1.37329,1.58691,
0.132,-9.552,1.95313,1.49536,
0.134,-9.30786,1.11389,1.17493,
0.136,-9.46045,1.83105,1.28174,
0.138,-9.42993,1.38855,0.701904,
0.14,-9.73511,1.34277,0.900269,
0.142,-9.49097,1.78528,0.961304,
0.144,-9.39941,1.15967,0.549316,
0.146,-9.33838,1.95313,0.869751,
0.148,-9.39941,1.40381,0.335693,
0.15,-9.42993,1.5564,0.62561,
0.152,-9.39941,1.9989,0.50354,
0.154,-9.67407,1.06812,0.320435,
0.156,-9.06372,1.89209,0.656128,
0.158,-9.39941,1.37329,4.57764e-002,
0.16,-9.42993,1.46484,0.640869,
0.162,-9.24683,2.0752,0.610352,
0.164,-9.18579,1.09863,0.350952,
0.166,-9.21631,1.86157,0.839233,
0.168,-9.15527,1.46484,0.488281,
0.17,-9.42993,1.32751,0.717163,
0.172,-9.27734,1.9989,0.473022,
0.174,-9.42993,1.12915,0.595093,
